artwork_id,museum_id,nb_images,thumbnail,media_url
87,JL.2022.0.147,2,mar-bvm-7-2022-0-147-001-medium.jpg,"mar-bvm-7-2022-0-147-001-medium.jpg, mar-bvm-7-2022-0-147-002-medium.jpg"
88,JL.2022.0.148,2,mar-bvm-7-2022-0-148-001-medium.jpg,"mar-bvm-7-2022-0-148-001-medium.jpg, mar-bvm-7-2022-0-148-002-medium.jpg"
89,JL.2022.0.149,2,mar-bvm-7-2022-0-149-001-medium.jpg,"mar-bvm-7-2022-0-149-001-medium.jpg, mar-bvm-7-2022-0-149-002-medium.jpg"
90,JL.2022.0.153,2,mar-bvm-7-2022-0-153-001-medium.jpg,"mar-bvm-7-2022-0-153-001-medium.jpg, mar-bvm-7-2022-0-153-002-medium.jpg"
91,JL.2022.0.154,2,mar-bvm-7-2022-0-154-001-medium.jpg,"mar-bvm-7-2022-0-154-001-medium.jpg, mar-bvm-7-2022-0-154-002-medium.jpg"
92,JL.2022.0.155,2,mar-bvm-7-2022-0-155-001-medium.jpg,"mar-bvm-7-2022-0-155-001-medium.jpg, mar-bvm-7-2022-0-155-002-medium.jpg"
93,JL.2022.0.156,2,mar-bvm-7-2022-0-156-001-medium.jpg,"mar-bvm-7-2022-0-156-001-medium.jpg, mar-bvm-7-2022-0-156-002-medium.jpg"
94,JL.2022.0.161,2,mar-bvm-7-2022-0-161-001-medium.jpg,"mar-bvm-7-2022-0-161-001-medium.jpg, mar-bvm-7-2022-0-161-002-medium.jpg"
95,JL.2022.0.165,1,mar-bvm-7-2022-0-165-002-medium.jpg,mar-bvm-7-2022-0-165-002-medium.jpg
96,JL.2022.0.170,2,mar-bvm-7-2022-0-170-001-medium.jpg,"mar-bvm-7-2022-0-170-001-medium.jpg, mar-bvm-7-2022-0-170-002-medium.jpg"
97,JL.2022.0.175,2,mar-bvm-7-2022-0-175-001-medium.jpg,"mar-bvm-7-2022-0-175-001-medium.jpg, mar-bvm-7-2022-0-175-002-medium.jpg"
98,JL.2022.0.179,2,mar-bvm-7-2022-0-179-001-medium.jpg,"mar-bvm-7-2022-0-179-001-medium.jpg, mar-bvm-7-2022-0-179-002-medium.jpg"
99,JL.2022.0.180,2,mar-bvm-7-2022-0-180-001-medium.jpg,"mar-bvm-7-2022-0-180-001-medium.jpg, mar-bvm-7-2022-0-180-002-medium.jpg"
100,JL.2022.0.182,2,mar-bvm-7-2022-0-182-001-medium.jpg,"mar-bvm-7-2022-0-182-001-medium.jpg, mar-bvm-7-2022-0-182-002-medium.jpg"
101,JL.2022.0.191,2,mar-bvm-7-2022-0-191-001-medium.jpg,"mar-bvm-7-2022-0-191-001-medium.jpg, mar-bvm-7-2022-0-191-002-medium.jpg"
102,JL.2022.0.192,2,mar-bvm-7-2022-0-192-001-medium.jpg,"mar-bvm-7-2022-0-192-001-medium.jpg, mar-bvm-7-2022-0-192-002-medium.jpg"
103,JL.2022.0.196,2,mar-bvm-7-2022-0-196-001-medium.jpg,"mar-bvm-7-2022-0-196-001-medium.jpg, mar-bvm-7-2022-0-196-002-medium.jpg"
104,JL.2022.0.200,2,mar-bvm-7-2022-0-200-001-medium.jpg,"mar-bvm-7-2022-0-200-001-medium.jpg, mar-bvm-7-2022-0-200-002-medium.jpg"
105,JL.2022.0.201,2,mar-bvm-7-2022-0-201-001-medium.jpg,"mar-bvm-7-2022-0-201-001-medium.jpg, mar-bvm-7-2022-0-201-002-medium.jpg"
106,JL.2022.0.204,2,mar-bvm-7-2022-0-204-001-medium.jpg,"mar-bvm-7-2022-0-204-001-medium.jpg, mar-bvm-7-2022-0-204-002-medium.jpg"
107,JL.2022.0.206,2,mar-bvm-7-2022-0-206-001-medium.jpg,"mar-bvm-7-2022-0-206-001-medium.jpg, mar-bvm-7-2022-0-206-002-medium.jpg"
108,JL.2022.0.212,2,mar-bvm-7-2022-0-212-001-medium.jpg,"mar-bvm-7-2022-0-212-001-medium.jpg, mar-bvm-7-2022-0-212-002-medium.jpg"
